List of Creatures by Experience to Hit Points Ratio (1896)
Name		Exp	HP	Exp/HP Ratio
Rotworm	Rotworm	40	65	0.615
Wolf	Wolf	18	25	0.72
Rabbit	Rabbit	0	15	0
Stone Golem	Stone Golem	160	270	0.593
Badger	Badger	5	23	0.217
Bear	Bear	23	80	0.288
Cave Rat	Cave Rat	10	30	0.333
Hyaena	Hyaena	20	60	0.333
Lion	Lion	30	80	0.375
Pig	Pig	0	25	0
Polar Bear	Polar Bear	28	85	0.329
Skunk	Skunk	3	20	0.15
Winter Wolf	Winter Wolf	20	30	0.667
Flamingo	Flamingo	0	25	0
Parrot	Parrot	0	25	0
Panda	Panda	23	80	0.288
Spit Nettle	Spit Nettle	20	150	0.133
Crab	Crab	30	55	0.545
Tiger	Tiger	40	75	0.533
Terror Bird	Terror Bird	150	300	0.5
Crocodile	Crocodile	40	105	0.381
Chicken	Chicken	0	15	0
Bat	Bat	10	30	0.333
Elephant	Elephant	160	320	0.5
Blood Crab	Blood Crab	160	290	0.552
Carrion Worm	Carrion Worm	70	145	0.483
Seagull	Seagull	0	25	0
Tortoise	Tortoise	90	185	0.486
Mammoth	Mammoth	160	320	0.5
Magicthrower	Magicthrower	18	100	0.18
Deathslicer	Deathslicer	0	8,200	0
Plaguethrower	Plaguethrower	18	100	0.18
Serpent Spawn	Serpent Spawn	3,050	3,000	1.017
Yeti	Yeti	460	950	0.484
Frost Troll	Frost Troll	23	55	0.418
Vampire	Vampire	305	475	0.642
Minotaur Mage	Minotaur Mage	150	155	0.968
Minotaur	Minotaur	50	100	0.5
Minotaur Archer	Minotaur Archer	65	100	0.65
Minotaur Guard	Minotaur Guard	160	185	0.865
Amazon	Amazon	60	110	0.545
Ashmunrah	Ashmunrah	3,100	5,000	0.62
Priestess	Priestess	420	390	1.077
Stalker	Stalker	90	120	0.75
Thornback Tortoise	Thornback Tortoise	150	300	0.5
Valkyrie	Valkyrie	85	190	0.447
Dwarf Guard	Dwarf Guard	165	245	0.673
Elf	Elf	42	100	0.42
Lich	Lich	900	880	1.023
Dwarf Soldier	Dwarf Soldier	70	135	0.519
Bug	Bug	18	29	0.621
Elf Scout	Elf Scout	75	160	0.469
Swamp Troll	Swamp Troll	25	55	0.455
Goblin	Goblin	25	50	0.5
Poison Spider	Poison Spider	22	26	0.846
Ghoul	Ghoul	85	100	0.85
Scarab	Scarab	120	320	0.375
Larva	Larva	44	70	0.629
Scorpion	Scorpion	45	45	1
Snake	Snake	10	15	0.667
Orc Leader	Orc Leader	270	450	0.6
Orc Rider	Orc Rider	110	180	0.611
Orc Shaman	Orc Shaman	110	115	0.957
Orc Berserker	Orc Berserker	195	210	0.929
Orc Spearman	Orc Spearman	38	105	0.362
Orc Warlord	Orc Warlord	670	950	0.705
Orc Warrior	Orc Warrior	50	125	0.4
Demon Skeleton	Demon Skeleton	240	400	0.6
Skeleton	Skeleton	35	50	0.7
Quara Pincher	Quara Pincher	1,500	1,800	0.833
Wild Warrior	Wild Warrior	60	135	0.444
Wasp	Wasp	24	35	0.686
Bonebeast	Bonebeast	580	515	1.126
Crypt Shambler	Crypt Shambler	195	330	0.591
Grorlam	Grorlam	2,400	3,000	0.8
Centipede	Centipede	34	70	0.486
Gargoyle	Gargoyle	150	250	0.6
Ghost	Ghost	120	150	0.8
Mummy	Mummy	150	240	0.625
Dipthrah	Dipthrah	2,900	4,200	0.69
Mahrdis	Mahrdis	3,050	3,900	0.782
Vashresamun	Vashresamun	2,950	4,000	0.738
Adept of the Cult	Adept of the Cult	400	430	0.93
Efreet	Efreet	410	550	0.745
Thalas	Thalas	2,950	4,100	0.72
Rahemos	Rahemos	3,100	3,700	0.838
Gazer	Gazer	90	120	0.75
Bandit	Bandit	65	245	0.265
Smuggler	Smuggler	48	130	0.369
Lizard Snakecharmer	Lizard Snakecharmer	210	325	0.646
Butterfly (Purple)	Butterfly (Purple)	0	2	0
Pirate Cutthroat	Pirate Cutthroat	175	325	0.538
Sibang	Sibang	105	225	0.467
Kongra	Kongra	115	340	0.338
Quara Pincher Scout	Quara Pincher Scout	600	775	0.774
Merlkin	Merlkin	145	235	0.617
Lizard Sentinel	Lizard Sentinel	110	265	0.415
Dworc Fleshhunter	Dworc Fleshhunter	40	85	0.471
Azure Frog	Azure Frog	20	60	0.333
Coral Frog	Coral Frog	20	60	0.333
Acolyte of the Cult	Acolyte of the Cult	300	390	0.769
Enlightened of the Cult	Enlightened of the Cult	500	700	0.714
Novice of the Cult	Novice of the Cult	100	285	0.351
Pirate Buccaneer	Pirate Buccaneer	250	425	0.588
Pirate Corsair	Pirate Corsair	350	675	0.519
Pirate Ghost	Pirate Ghost	250	275	0.909
Pirate Marauder	Pirate Marauder	125	210	0.595
Pirate Skeleton	Pirate Skeleton	85	190	0.447
Quara Hydromancer	Quara Hydromancer	950	1,100	0.864
Quara Predator Scout	Quara Predator Scout	400	890	0.449
Quara Mantassin	Quara Mantassin	600	800	0.75
Toad	Toad	60	135	0.444
Water Elemental	Water Elemental	650	550	1.182
Massive Water Elemental	Massive Water Elemental	1,100	1,250	0.88
Island Troll	Island Troll	20	50	0.4
Orchid Frog	Orchid Frog	20	60	0.333
Crimson Frog	Crimson Frog	20	60	0.333
Green Frog	Green Frog	0	25	0
Thul	Thul	2,700	2,950	0.915
Quara Mantassin Scout	Quara Mantassin Scout	100	220	0.455
Quara Hydromancer Scout	Quara Hydromancer Scout	800	1,100	0.727
Fernfang	Fernfang	600	400	1.5
Hand of Cursed Fate	Hand of Cursed Fate	5,000	6,600	0.758
Phantasm	Phantasm	4,400	3,950	1.114
Son of Verminor	Son of Verminor	5,900	8,500	0.694
Dwarf Geomancer	Dwarf Geomancer	265	380	0.697
Apprentice Sheng	Apprentice Sheng	150	95	1.579
Wyvern	Wyvern	515	795	0.648
Munster	Munster	35	58	0.603
Flamethrower	Flamethrower	18	100	0.18
The Evil Eye	The Evil Eye	750	1,200	0.625
The Horned Fox	The Horned Fox	300	265	1.132
The Old Widow	The Old Widow	4,200	3,200	1.313
Brutus Bloodbeard	Brutus Bloodbeard	795	1,555	0.511
Deadeye Devious	Deadeye Devious	750	1,450	0.517
General Murius	General Murius	450	550	0.818
Lethal Lissy	Lethal Lissy	500	1,450	0.345
Ron the Ripper	Ron the Ripper	500	1,500	0.333
Tiquandas Revenge	Tiquandas Revenge	2,635	1,800	1.464
Lavahole	Lavahole	--	--	?
Demon (Goblin)	Demon (Goblin)	25	50	0.5
The Handmaiden	The Handmaiden	7,500	19,500	0.385
Magic Pillar	Magic Pillar	--	--	?
Witch	Witch	120	300	0.4
Webster	Webster	1,200	2,950	0.407
Spirit of Water	Spirit of Water	850	1,400	0.607
Norgle Glacierbeard	Norgle Glacierbeard	2,100	4,280	0.491
Spirit of Earth	Spirit of Earth	800	1,200	0.667
Slim	Slim	580	1,025	0.566
Kreebosh the Exile	Kreebosh the Exile	350	705	0.496
The Dark Dancer	The Dark Dancer	435	805	0.54
The Hag	The Hag	510	935	0.545
Deathbringer	Deathbringer	5,100	8,440	0.604
Darakan the Executioner	Darakan the Executioner	1,600	3,480	0.46
Grimgor Guteater	Grimgor Guteater	670	1,155	0.58
Drasilla	Drasilla	700	1,260	0.556
Orcus the Cruel	Orcus the Cruel	280	480	0.583
Svoren the Mad	Svoren the Mad	3,000	6,310	0.475
Fallen Mooh'Tah Master Ghar	Fallen Mooh'Tah Master Ghar	4,400	7,990	0.551
Quara Constrictor	Quara Constrictor	380	450	0.844
Orc	Orc	25	70	0.357
Elf Arcanist	Elf Arcanist	175	220	0.795
Cat	Cat	0	20	0
Squirrel	Squirrel	0	20	0
Poacher	Poacher	70	90	0.778
Troll Champion	Troll Champion	40	75	0.533
Cyclops Drone	Cyclops Drone	200	325	0.615
Cyclops Smith	Cyclops Smith	255	435	0.586
Dark Magician	Dark Magician	185	325	0.569
Dark Apprentice	Dark Apprentice	100	225	0.444
Mechanical Fighter	Mechanical Fighter	255	420	0.607
Dwarf Henchman	Dwarf Henchman	15	350	0.043
Thief (Creature)	Thief (Creature)	5	60	0.083
Assassin	Assassin	105	175	0.6
Mad Technomancer	Mad Technomancer	55	1,800	0.031
Koshei the Deathless	Koshei the Deathless	0	3,000	0
Kitty	Kitty	--	--	?
Slime	Slime	160	150	1.067
Fire Devil	Fire Devil	145	200	0.725
Dwarf Dispenser	Dwarf Dispenser	--	--	?
Dworc Voodoomaster	Dworc Voodoomaster	55	80	0.688
Nomad (Basic)	Nomad (Basic)	60	160	0.375
Dryad	Dryad	190	310	0.613
Goblin Assassin	Goblin Assassin	52	75	0.693
Rotworm Queen	Rotworm Queen	75	105	0.714
Massive Energy Elemental	Massive Energy Elemental	950	1,100	0.864
Eye of the Seven	Eye of the Seven	0	120	0
Skeleton Warrior	Skeleton Warrior	45	65	0.692
Ungreez	Ungreez	500	8,200	0.061
Massive Fire Elemental	Massive Fire Elemental	1,400	1,800	0.778
Wisp	Wisp	0	115	0
Overcharged Energy Element	Overcharged Energy Element	1,300	1,200	1.083
Zugurosh	Zugurosh	10,000	90,500	0.11
Massive Earth Elemental	Massive Earth Elemental	950	1,330	0.714
Golgordan	Golgordan	10,000	40,000	0.25
Latrivan	Latrivan	10,000	25,000	0.4
Young Sea Serpent	Young Sea Serpent	1,000	1,050	0.952
Roaring Water Elemental	Roaring Water Elemental	1,300	1,750	0.743
Jagged Earth Elemental	Jagged Earth Elemental	1,300	1,500	0.867
Dwarf Miner	Dwarf Miner	60	120	0.5
Charged Energy Elemental	Charged Energy Elemental	450	500	0.9
Blazing Fire Elemental	Blazing Fire Elemental	450	650	0.692
Sir Valorcrest	Sir Valorcrest	1,800	1,600	1.125
Goblin Scavenger	Goblin Scavenger	37	60	0.617
Lord of the Elements	Lord of the Elements	8,000	8,000	1
The Weakened Count	The Weakened Count	450	740	0.608
Energy Overlord	Energy Overlord	2,800	4,000	0.7
Smuggler Baron Silvertoe	Smuggler Baron Silvertoe	170	280	0.607
Earth Overlord	Earth Overlord	2,800	4,000	0.7
Fire Overlord	Fire Overlord	2,800	4,000	0.7
Arachir the Ancient One	Arachir the Ancient One	1,800	1,600	1.125
Big Boss Trolliver	Big Boss Trolliver	105	140	0.75
Ice Overlord	Ice Overlord	2,800	4,000	0.7
High Templar Cobrass	High Templar Cobrass	515	410	1.256
The Big Bad One	The Big Bad One	170	300	0.567
Xenia	Xenia	255	200	1.275
Zevelon Duskbringer	Zevelon Duskbringer	1,800	1,400	1.286
Slick Water Elemental	Slick Water Elemental	450	550	0.818
Barbaria	Barbaria	355	345	1.029
Diblis the Fair	Diblis the Fair	1,800	1,500	1.2
The Frog Prince	The Frog Prince	1	55	0.018
Warlord Ruzad	Warlord Ruzad	1,700	1,500	1.133
Zarabustor	Zarabustor	8,000	5,100	1.569
Stonecracker	Stonecracker	3,500	6,500	0.538
Hell Hole	Hell Hole	0	120	0
Hero	Hero	1,200	1,400	0.857
The Old Whopper	The Old Whopper	750	785	0.955
Pillar	Pillar	--	--	?
The Count	The Count	450	1,250	0.36
Foreman Kneebiter	Foreman Kneebiter	445	570	0.781
Hairman the Huge	Hairman the Huge	335	600	0.558
The Imperor	The Imperor	8,000	15,000	0.533
Chakoya Windcaller	Chakoya Windcaller	48	84	0.571
Chakoya Toolshaper	Chakoya Toolshaper	40	80	0.5
Chakoya Tribewarden	Chakoya Tribewarden	40	68	0.588
Frostfur	Frostfur	35	65	0.538
Bloodpaw	Bloodpaw	50	100	0.5
Bovinus	Bovinus	60	150	0.4
Achad	Achad	70	185	0.378
Colerian the Barbarian	Colerian the Barbarian	90	265	0.34
The Hairy One	The Hairy One	115	325	0.354
Axeitus Headbanger	Axeitus Headbanger	140	365	0.384
Rocky	Rocky	190	390	0.487
Avalanche (Creature)	Avalanche (Creature)	305	550	0.555
Cursed Gladiator	Cursed Gladiator	215	435	0.494
The Pit Lord	The Pit Lord	2,500	5,270	0.474
Crystal Spider	Crystal Spider	900	1,250	0.72
Barbarian Bloodwalker	Barbarian Bloodwalker	195	305	0.639
Penguin	Penguin	1	33	0.03
The Masked Marauder	The Masked Marauder	3,500	7,320	0.478
Ushuriel	Ushuriel	10,000	31,500	0.317
Barbarian Headsplitter	Barbarian Headsplitter	85	100	0.85
Barbarian Skullhunter	Barbarian Skullhunter	85	135	0.63
Barbarian Brutetamer	Barbarian Brutetamer	90	145	0.621
The Obliverator	The Obliverator	6,000	9,020	0.665
Spirit of Fire	Spirit of Fire	950	2,210	0.43
Braindeath	Braindeath	985	1,225	0.804
Dire Penguin	Dire Penguin	119	173	0.688
Ice Golem	Ice Golem	295	385	0.766
Frost Giant	Frost Giant	150	270	0.556
Silver Rabbit	Silver Rabbit	0	15	0
Mutated Human	Mutated Human	150	240	0.625
Mercury Blob	Mercury Blob	180	150	1.2
Mad Scientist	Mad Scientist	205	325	0.631
Gladiator	Gladiator	90	185	0.486
Gang Member	Gang Member	70	295	0.237
Damaged Worker Golem	Damaged Worker Golem	95	260	0.365
Mutated Rat	Mutated Rat	450	550	0.818
Mutated Tiger	Mutated Tiger	750	1,100	0.682
Nightstalker	Nightstalker	500	700	0.714
Nightmare Scion	Nightmare Scion	1,350	1,400	0.964
Undead Gladiator	Undead Gladiator	800	1,000	0.8
War Golem	War Golem	2,310	4,300	0.537
Death Blob	Death Blob	300	320	0.938
Frost Giantess	Frost Giantess	150	275	0.545
Rift Brood	Rift Brood	1,600	2,950	0.542
Rift Scythe	Rift Scythe	2,000	3,600	0.556
Rift Worm	Rift Worm	1,195	2,800	0.427
Marziel	Marziel	3,000	1,900	1.579
Lersatio	Lersatio	2,500	1,645	1.52
Morik the Gladiator	Morik the Gladiator	160	1,235	0.13
Sharptooth	Sharptooth	3,000	3,100	0.968
Inky	Inky	700	750	0.933
Splasher	Splasher	1,500	1,700	0.882
Yalahari (Creature)	Yalahari (Creature)	5	150	0.033
Diseased Bill	Diseased Bill	300	1,000	0.3
Diseased Dan	Diseased Dan	300	800	0.375
Diseased Fred	Diseased Fred	300	1,100	0.273
Pythius the Rotten (Creature)	Pythius the Rotten (Creature)	7,000	9,000	0.778
Crazed Beggar	Crazed Beggar	35	100	0.35
Shadow of Marziel	Shadow of Marziel	?	600	?
Shadow of Lersatio	Shadow of Lersatio	?	600	?
Ice Witch	Ice Witch	580	650	0.892
Armenius (Creature)	Armenius (Creature)	500	550	0.909
Shadow of Boreth	Shadow of Boreth	?	600	?
Gravelord Oshuran	Gravelord Oshuran	2,400	3,100	0.774
Servant Golem	Servant Golem	5	1,400	0.004
Ghostly Apparition	Ghostly Apparition	120	150	0.8
Rift Phantom	Rift Phantom	?	?	?
Husky	Husky	0	140	0
Dharalion	Dharalion	570	390	1.462
Countess Sorrow	Countess Sorrow	13,000	6,500	2
Cyclops	Cyclops	150	260	0.577
Blightwalker	Blightwalker	5,850	8,100	0.722
Black Knight	Black Knight	1,600	1,800	0.889
Azerus	Azerus	6,000	26,000	0.231
Worker Golem	Worker Golem	1,250	1,470	0.85
Diabolic Imp	Diabolic Imp	2,900	1,950	1.487
Quara Predator	Quara Predator	1,850	2,200	0.841
Lost Soul	Lost Soul	4,000	5,800	0.69
Spectre	Spectre	2,100	1,350	1.556
Yakchal	Yakchal	4,400	5,750	0.765
Betrayed Wraith	Betrayed Wraith	3,500	4,200	0.833
Madareth	Madareth	10,000	75,000	0.133
Dracola	Dracola	11,000	16,200	0.679
Arthei	Arthei	4,000	4,200	0.952
Boreth	Boreth	1,800	1,400	1.286
Necropharus	Necropharus	1,050	750	1.4
Undead Jester	Undead Jester	5	355	0.014
Dark Monk	Dark Monk	145	190	0.763
The Snapper	The Snapper	150	300	0.5
Merikh the Slaughterer	Merikh the Slaughterer	1,500	2,000	0.75
Bride of Night	Bride of Night	450	275	1.636
Killer Rabbit	Killer Rabbit	160	205	0.78
Hot Dog	Hot Dog	190	505	0.376
Berserker Chicken	Berserker Chicken	220	465	0.473
Demon Parrot	Demon Parrot	225	360	0.625
Evil Sheep Lord	Evil Sheep Lord	340	400	0.85
Evil Sheep	Evil Sheep	240	350	0.686
Doom Deer	Doom Deer	200	405	0.494
Doctor Perhaps	Doctor Perhaps	325	475	0.684
Dirtbeard	Dirtbeard	375	630	0.595
Mephiles	Mephiles	415	415	1
Boogey	Boogey	475	930	0.511
Monstor	Monstor	575	960	0.599
Evil Mastermind	Evil Mastermind	675	1,295	0.521
Rottie the Rotworm	Rottie the Rotworm	40	65	0.615
The Bloodtusk	The Bloodtusk	300	600	0.5
Shardhead	Shardhead	650	800	0.813
Vampire Pig	Vampire Pig	165	305	0.541
Zombie	Zombie	280	500	0.56
Leviathan	Leviathan	5,000	6,000	0.833
Carniphila	Carniphila	150	255	0.588
Bonelord	Bonelord	170	260	0.654
Troll Legionnaire	Troll Legionnaire	140	210	0.667
Gozzler	Gozzler	180	240	0.75
Mad Sheep	Mad Sheep	0	22	0
Butterfly (Red)	Butterfly (Red)	0	2	0
Butterfly (Blue)	Butterfly (Blue)	0	2	0
Enraged Bookworm	Enraged Bookworm	55	145	0.379
Harbinger of Darkness	Harbinger of Darkness	8,700	120,000	0.073
Spawn of Despair	Spawn of Despair	2,550	35,000	0.073
Gloombringer	Gloombringer	6,000	50,000	0.12
Eclipse Knight	Eclipse Knight	4,650	45,000	0.103
Dreadbeast	Dreadbeast	250	800	0.313
Fahim the Wise	Fahim the Wise	1,500	2,000	0.75
Deathspawn	Deathspawn	0	225	0
Infernal Frog	Infernal Frog	190	655	0.29
Duskbringer	Duskbringer	2,600	3,550	0.732
Shadow Hound	Shadow Hound	600	555	1.081
Nightslayer	Nightslayer	250	400	0.625
Doomsday Cultist	Doomsday Cultist	100	125	0.8
Bane of Light	Bane of Light	750	1,100	0.682
Midnight Spawn	Midnight Spawn	900	2,000	0.45
Midnight Warrior	Midnight Warrior	750	1,000	0.75
Herald of Gloom	Herald of Gloom	450	340	1.324
Rat	Rat	5	20	0.25
Orc Marauder	Orc Marauder	205	235	0.872
Lizard Zaogun	Lizard Zaogun	1,700	2,955	0.575
Lizard Legionnaire	Lizard Legionnaire	1,100	1,400	0.786
Lizard Chosen	Lizard Chosen	2,200	3,050	0.721
Insect Swarm	Insect Swarm	40	50	0.8
Terramite	Terramite	160	365	0.438
Sandcrawler	Sandcrawler	20	30	0.667
Killer Caiman	Killer Caiman	900	1,500	0.6
Lancer Beetle	Lancer Beetle	275	400	0.688
Enraged Squirrel	Enraged Squirrel	15	35	0.429
The Voice of Ruin	The Voice of Ruin	3,500	5,500	0.636
The Collector	The Collector	100	340	0.294
Undead Mine Worker	Undead Mine Worker	45	65	0.692
Undead Prospector	Undead Prospector	85	100	0.85
Renegade Orc	Renegade Orc	270	450	0.6
Eternal Guardian	Eternal Guardian	1,800	2,500	0.72
Battlemaster Zunzu	Battlemaster Zunzu	2,500	4,000	0.625
Shard of Corruption	Shard of Corruption	5	600	0.008
Mooh'Tah Master	Mooh'Tah Master	--	--	?
Baron Brute	Baron Brute	3,000	5,025	0.597
The Axeorcist	The Axeorcist	3,000	5,100	0.588
Menace	Menace	3,250	6,000	0.542
Doomhowl	Doomhowl	3,750	8,500	0.441
Rocko	Rocko	3,400	10,000	0.34
Dreadwing	Dreadwing	3,750	8,500	0.441
Fatality	Fatality	3,250	6,000	0.542
Tremorak	Tremorak	1,300	10,000	0.13
Incineron	Incineron	3,500	7,000	0.5
Haunter	Haunter	4,000	8,500	0.471
The Dreadorian	The Dreadorian	4,000	9,000	0.444
Coldheart	Coldheart	3,500	7,000	0.5
Tirecz	Tirecz	6,000	25,000	0.24
The Blightfather	The Blightfather	400	400	1
Grand Mother Foulscale	Grand Mother Foulscale	1,400	1,850	0.757
Cublarc the Plunderer	Cublarc the Plunderer	400	400	1
Dreadmaw	Dreadmaw	1,500?	3,500	?
Lizard Dragon Priest	Lizard Dragon Priest	1,320	1,450	0.91
Lizard Gate Guardian	Lizard Gate Guardian	2,500	5,000	0.5
Fleabringer	Fleabringer	100	265	0.377
Flamecaller Zazrak	Flamecaller Zazrak	3,031	2,690	1.127
Behemoth	Behemoth	2,500	4,000	0.625
Rift Lord	Rift Lord	?	?	?
War Wolf	War Wolf	55	140	0.393
Draken Elite	Draken Elite	4,200	5,550	0.757
Brimstone Bug	Brimstone Bug	900	1,300	0.692
Heoni	Heoni	515	900	0.572
The Keeper	The Keeper	3,205	40,000	0.08
Fury of the Emperor	Fury of the Emperor	550~	51,000	?
Snake God Essence	Snake God Essence	7,410	65,000	0.114
Lizard Abomination	Lizard Abomination	9,700?	95,000	?
Lizard Noble	Lizard Noble	2,000	7,000	0.286
Scorn of the Emperor	Scorn of the Emperor	450	45,000	0.01
Spite of the Emperor	Spite of the Emperor	500~	48,000	?
Lizard Magistratus	Lizard Magistratus	2,000	6,250	0.32
Teleskor	Teleskor	70	80	0.875
Snake Thing	Snake Thing	8,400?	70,000	?
Mutated Zalamon	Mutated Zalamon	10,980~	155,000	?
Elder Bonelord	Elder Bonelord	280	500	0.56
Devovorga	Devovorga	65,000?	500,000	?
Teneshpar	Teneshpar	20,000	15,000	1.333
Chikhaton	Chikhaton	20,000	20,000	1
Bloom of Doom	Bloom of Doom	?	30,000	?
Spawn of Devovorga	Spawn of Devovorga	?	?	?
Vulnerable Cocoon	Vulnerable Cocoon	?	200,000	?
Cocoon	Cocoon	?	?	?
Dwarf	Dwarf	45	90	0.5
Grandfather Tridian	Grandfather Tridian	1,400	1,800	0.778
Stampor	Stampor	780	1,200	0.65
Boar	Boar	60	198	0.303
Undead Cavebear	Undead Cavebear	600	450	1.333
Spectral Scum	Spectral Scum	--	--	?
Ghost Rat	Ghost Rat	0	?	?
Slime Puddle	Slime Puddle	--	--	?
Travelling Merchant	Travelling Merchant	65	100	0.65
Bane Bringer	Bane Bringer	400	2,500	0.16
Soul Spark	Soul Spark	0	115	0
Cake Golem	Cake Golem	100	444	0.225
Bog Raider	Bog Raider	800	1,300	0.615
Glitterscale	Glitterscale	700	1,111	0.63
Draken Spellweaver	Draken Spellweaver	3,100	5,000	0.62
Draken Abomination	Draken Abomination	3,800	6,250	0.608
Sandstone Scorpion	Sandstone Scorpion	680	900	0.756
Askarak Lord	Askarak Lord	1,200	2,100	0.571
Askarak Prince	Askarak Prince	1,700	2,600	0.654
Bog Frog	Bog Frog	0	25	0
Death Priest	Death Priest	750	800	0.938
Desperate White Deer	Desperate White Deer	35	55	0.636
Diamond Servant	Diamond Servant	700	1,000	0.7
Dromedary	Dromedary	0	45	0
Elder Mummy	Elder Mummy	560	850	0.659
Enraged White Deer	Enraged White Deer	165	255	0.647
Feverish Citizen	Feverish Citizen	30	125	0.24
Filth Toad	Filth Toad	90	185	0.486
Firestarter	Firestarter	80	180	0.444
Ghoulish Hyaena	Ghoulish Hyaena	195	400	0.488
Golden Servant	Golden Servant	450	550	0.818
Grave Guard	Grave Guard	485	720	0.674
Honour Guard	Honour Guard	55	85	0.647
Horse (Taupe)	Horse (Taupe)	0	75	0
Insectoid Scout	Insectoid Scout	150	230	0.652
Iron Servant	Iron Servant	210	350	0.6
Mad Mage	Mad Mage	1,800	2,500	0.72
Sacred Spider	Sacred Spider	330	550	0.6
Shaburak Prince	Shaburak Prince	1,700	2,600	0.654
Slug	Slug	70	255	0.275
Starving Wolf	Starving Wolf	65	85	0.765
Thornfire Wolf	Thornfire Wolf	200	600	0.333
Tomb Servant	Tomb Servant	215	475	0.453
Groam	Groam	180	400	0.45
Askarak Demon	Askarak Demon	900	1,500	0.6
